EOI_Code,Municipality,same_as_wikidata_municipality,Station_Name,Pollutant_Code,Pollutant_Name,same_as_wikidata_pollutant_name,Units,Station_Type,Station_Environment,same_as_wikidata_station_environment,INE_Code,Year,Month,Day,Date,Values,Altitude,Latitude,Longitude,Georeference
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,02,2021-02-01T00:00:00Z,0.188,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,04,2021-04-01T00:00:00Z,0.112,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,06,2021-06-01T00:00:00Z,0.209,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,09,2021-09-01T00:00:00Z,0.05,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,11,2021-11-01T00:00:00Z,0.083,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,13,2021-01-13T00:00:00Z,0.063,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,16,2021-01-16T00:00:00Z,0.091,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,18,2021-01-18T00:00:00Z,0.132,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,20,2021-01-20T00:00:00Z,0.058,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,23,2021-01-23T00:00:00Z,0.05,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,25,2021-01-25T00:00:00Z,0.05,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,27,2021-01-27T00:00:00Z,0.187,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8019045,Barcelona,https://wikidata.org/entity/Q1492,Zona Universitària,27,N6-benzyladenine,https://wikidata.org/entity/Q419946,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,30,2021-01-30T00:00:00Z,0.05,24,41.38490197,2.11957027,POINT (2.11957027 41.38490197)
8202001,Sant Celoni,https://wikidata.org/entity/Q15441,Carles Damm,30,C6H6,,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8202,2021,1,07,2021-07-01T00:00:00Z,1.67,145,41.68899932,2.49573998,POINT (2.49573998 41.68899932)
8202001,Sant Celoni,https://wikidata.org/entity/Q15441,Carles Damm,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8202,2021,1,12,2021-12-01T00:00:00Z,0.92,145,41.68899932,2.49573998,POINT (2.49573998 41.68899932)
8202001,Sant Celoni,https://wikidata.org/entity/Q15441,Carles Damm,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8202,2021,1,20,2021-01-20T00:00:00Z,0.53,145,41.68899932,2.49573998,POINT (2.49573998 41.68899932)
8202001,Sant Celoni,https://wikidata.org/entity/Q15441,Carles Damm,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8202,2021,1,27,2021-01-27T00:00:00Z,0.68,145,41.68899932,2.49573998,POINT (2.49573998 41.68899932)
8121014,Mataró,https://wikidata.org/entity/Q11492,Laboratori d'aigües,9,PM 2.5,https://www.wikidata.org/wiki/Q48035814,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8121,2021,1,01,2021-01-01T00:00:00Z,8.68,30,41.55179885,2.43729027,POINT (2.43729027 41.55179885)
8121014,Mataró,https://wikidata.org/entity/Q11492,Laboratori d'aigües,9,PM 2.5,https://www.wikidata.org/wiki/Q48035814,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8121,2021,1,03,2021-03-01T00:00:00Z,9.46,30,41.55179885,2.43729027,POINT (2.43729027 41.55179885)
8121014,Mataró,https://wikidata.org/entity/Q11492,Laboratori d'aigües,9,PM 2.5,https://www.wikidata.org/wiki/Q48035814,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8121,2021,1,05,2021-05-01T00:00:00Z,10.58,30,41.55179885,2.43729027,POINT (2.43729027 41.55179885)
8121014,Mataró,https://wikidata.org/entity/Q11492,Laboratori d'aigües,9,PM 2.5,https://www.wikidata.org/wiki/Q48035814,µg/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8121,2021,1,07,2021-07-01T00:00:00Z,6.63,30,41.55179885,2.43729027,POINT (2.43729027 41.55179885)
